timestamp,bpm,beat_phase,lm_0_x,lm_0_y,lm_1_x,lm_1_y,lm_2_x,lm_2_y,lm_3_x,lm_3_y,lm_4_x,lm_4_y,lm_5_x,lm_5_y,lm_6_x,lm_6_y,lm_7_x,lm_7_y,lm_8_x,lm_8_y,lm_9_x,lm_9_y,lm_10_x,lm_10_y,lm_11_x,lm_11_y,lm_12_x,lm_12_y,lm_13_x,lm_13_y,lm_14_x,lm_14_y,lm_15_x,lm_15_y,lm_16_x,lm_16_y,lm_17_x,lm_17_y,lm_18_x,lm_18_y,lm_19_x,lm_19_y,lm_20_x,lm_20_y,right_shoulder_x,right_shoulder_y,right_shoulder_conf,right_elbow_x,right_elbow_y,right_elbow_conf,right_wrist_x,right_wrist_y,right_wrist_conf,wrist_x,wrist_y,raw_wrist_x,raw_wrist_y,hand_scale_px,confidence,tracking_mode,dynamics_intensity,dynamics_raw_intensity,dynamics_span_px,dynamics_reference_span_px
131367.492870,120.0,0.2901,0.71719,0.93472,0.66406,0.87083,0.63281,0.76528,0.62734,0.68056,0.65469,0.63333,0.69453,0.65278,0.70156,0.55972,0.69141,0.54028,0.67969,0.57222,0.73438,0.65694,0.75000,0.54861,0.73750,0.52778,0.72109,0.56944,0.77109,0.68611,0.79063,0.58194,0.77969,0.57083,0.76406,0.62083,0.80547,0.73611,0.83516,0.65417,0.83203,0.63056,0.81797,0.65833,0.31412,0.75231,0.9992,0.16788,1.00000,0.5539,0.19888,0.83180,0.2139,0.71014,0.98361,0.71719,0.93472,185.67,0.9838,live,0.3750,0.0156,12.49,801.08
131367.558347,120.0,0.3969,0.72031,0.87778,0.67031,0.79722,0.64375,0.70139,0.64297,0.61944,0.66719,0.56389,0.70625,0.59861,0.71484,0.51528,0.70703,0.48333,0.69609,0.49583,0.74219,0.60139,0.76406,0.49444,0.75234,0.46389,0.73203,0.49306,0.77891,0.62917,0.80312,0.52778,0.79688,0.49861,0.77891,0.54167,0.81328,0.67361,0.84531,0.59444,0.84375,0.56111,0.82734,0.58333,0.31605,0.75853,0.9993,0.18371,1.00000,0.5958,0.19974,0.71316,0.2923,0.71217,0.96244,0.72031,0.87778,184.79,0.9740,live,0.3750,0.0320,26.79,838.00
131367.625417,120.0,0.5312,0.72578,0.83056,0.67578,0.74583,0.65078,0.64722,0.65156,0.56389,0.67734,0.50972,0.71562,0.54861,0.72344,0.46667,0.71641,0.43194,0.70469,0.43750,0.75078,0.55278,0.77266,0.45000,0.76172,0.41944,0.74219,0.44028,0.78516,0.58056,0.81016,0.48194,0.80234,0.44583,0.78047,0.48472,0.81719,0.62500,0.85078,0.54583,0.84922,0.50278,0.83125,0.51944,0.32476,0.75759,0.9993,0.18897,1.00000,0.6338,0.20838,0.62530,0.3629,0.71489,0.93607,0.72578,0.83056,183.94,0.9753,live,0.3750,0.0526,45.80,869.88
131367.692568,120.0,0.6656,0.22266,0.57361,0.27969,0.49444,0.31406,0.39861,0.31641,0.31111,0.29922,0.25000,0.26094,0.28889,0.26719,0.19722,0.27109,0.13889,0.27500,0.08194,0.22344,0.28333,0.22187,0.18194,0.22266,0.11528,0.22500,0.05278,0.18906,0.29722,0.18047,0.20139,0.17891,0.13889,0.18125,0.08056,0.15391,0.33056,0.13672,0.25278,0.12969,0.19861,0.12734,0.14444,0.32475,0.75103,0.9994,0.18266,1.00000,0.6671,0.21000,0.59424,0.4264,0.22253,0.78757,0.22266,0.57361,188.98,0.9799,live,0.3750,0.7191,648.28,901.56
131367.758293,120.0,0.7963,0.21953,0.58611,0.27578,0.51528,0.30625,0.42222,0.30703,0.33611,0.29297,0.27778,0.25391,0.31528,0.26094,0.21806,0.26484,0.15833,0.26797,0.10278,0.21641,0.31111,0.21328,0.20417,0.21328,0.13611,0.21563,0.07500,0.18203,0.32639,0.17188,0.22778,0.17188,0.16250,0.17422,0.10556,0.14766,0.36111,0.12969,0.28056,0.12187,0.22500,0.11797,0.17083,0.32381,0.75284,0.9994,0.17715,1.00000,0.6976,0.21101,0.60378,0.4837,0.22193,0.74728,0.21953,0.58611,181.05,0.9905,live,0.4354,0.7106,656.43,923.72
131367.824519,120.0,0.9276,0.21328,0.63889,0.27109,0.56806,0.30000,0.47361,0.30156,0.39028,0.28750,0.32778,0.24688,0.36250,0.25156,0.26528,0.25391,0.20694,0.25547,0.15000,0.20781,0.35833,0.20391,0.25139,0.20312,0.18333,0.20391,0.12361,0.17188,0.37639,0.16172,0.27639,0.15859,0.21250,0.15781,0.15556,0.13828,0.41389,0.11875,0.33333,0.10781,0.27917,0.10156,0.22500,0.32798,0.75211,0.9995,0.19071,1.00000,0.7256,0.20972,0.63019,0.5352,0.22020,0.72560,0.21328,0.63889,184.47,0.9879,live,0.4832,0.7011,663.02,945.69
131367.892569,120.0,0.0570,0.20625,0.66528,0.26406,0.59861,0.29531,0.50278,0.30078,0.41528,0.28203,0.35694,0.24375,0.38889,0.24844,0.29167,0.25078,0.23472,0.25156,0.17917,0.20312,0.38333,0.19766,0.27778,0.19609,0.21111,0.19609,0.15278,0.16641,0.40139,0.15547,0.30417,0.15234,0.24167,0.15156,0.18611,0.13125,0.43889,0.11172,0.36111,0.10000,0.30972,0.09219,0.25694,0.32705,0.75190,0.9995,0.18854,1.00000,0.7499,0.20304,0.65226,0.5815,0.21741,0.71353,0.20625,0.66528,186.34,0.9893,live,0.5209,0.6923,669.04,966.37
131367.958328,120.0,0.1874,0.20312,0.65694,0.25938,0.58750,0.29063,0.49167,0.29453,0.40417,0.27891,0.34722,0.23906,0.38194,0.24375,0.28611,0.24531,0.22500,0.24609,0.16944,0.20000,0.37778,0.19531,0.27222,0.19141,0.20278,0.18906,0.14028,0.16484,0.39583,0.15234,0.29722,0.14688,0.23333,0.14375,0.17917,0.12969,0.43194,0.10938,0.35556,0.09766,0.30417,0.08828,0.25139,0.32813,0.75095,0.9995,0.19005,1.00000,0.7723,0.20118,0.65651,0.6232,0.21455,0.70222,0.20312,0.65694,184.04,0.9871,live,0.5506,0.6861,674.43,982.92
131368.025531,120.0,0.3233,0.20781,0.63333,0.26094,0.56667,0.29219,0.47083,0.29844,0.38194,0.28047,0.32361,0.24297,0.36111,0.24688,0.26528,0.24766,0.20694,0.24844,0.15278,0.20469,0.35694,0.19922,0.25417,0.19687,0.18472,0.19609,0.12222,0.16953,0.37361,0.15625,0.27639,0.15313,0.21528,0.15313,0.15972,0.13437,0.40694,0.11328,0.33056,0.10312,0.27917,0.09688,0.22639,0.32679,0.74679,0.9996,0.19022,1.00000,0.7936,0.20130,0.63863,0.6608,0.21321,0.68844,0.20781,0.63333,182.79,0.9827,live,0.5737,0.6787,676.42,996.58
131368.092502,120.0,0.4586,0.21172,0.62083,0.26562,0.55694,0.29688,0.46250,0.30234,0.37639,0.28828,0.31528,0.24766,0.35278,0.25312,0.25694,0.25547,0.19861,0.25703,0.14444,0.21094,0.34722,0.20625,0.24444,0.20547,0.17500,0.20469,0.11389,0.17578,0.36389,0.16406,0.26667,0.16172,0.20556,0.16172,0.15278,0.14141,0.39722,0.12187,0.32222,0.11250,0.27083,0.10547,0.21944,0.32762,0.74644,0.9996,0.19034,1.00000,0.8116,0.20711,0.62952,0.6946,0.21291,0.67492,0.21172,0.62083,179.89,0.9838,live,0.5920,0.6755,679.90,1006.51
